id, name, quote, tags
1, Oscar Wilde, Be yourself; everyone else is already taken., attributed-no-source* be-yourself* gilbert-perreira* honesty* inspirational* misattributed-oscar-wilde* quote-investigator* 
2, Albert Einstein, Two things are infinite: the universe and human stupidity; and I'm not sure about the universe., attributed-no-source* human-nature* humor* infinity* philosophy* science* stupidity* universe* 
3, Frank Zappa, So many books* so little time., books* humor* 
4, Marcus Tullius Cicero, A room without books is like a body without a soul., attributed-no-source* books* simile* soul* 
5, Bernard M. Baruch, Be who you are and say what you feel* because those who mind don't matter* and those who matter don't mind., ataraxy* be-yourself* confidence* fitting-in* individuality* misattributed-dr-seuss* those-who-matter* 
6, William W. Purkey, You've gotta dance like there's nobody watching*Love like you'll never be hurt*Sing like there's nobody listening*And live like it's heaven on earth., dance* heaven* hurt* inspirational* life* love* sing* 
7, Dr. Seuss, You know you're in love when you can't fall asleep because reality is finally better than your dreams., attributed-no-source* dreams* love* reality* sleep* 
8, Mae West, You only live once* but if you do it right* once is enough., humor* life* 
9, Mahatma Gandhi, Be the change that you wish to see in the world., action* change* inspirational* misattributed-to-gandhi* philosophy* wish* 
10, Robert Frost, In three words I can sum up everything I've learned about life: it goes on., life* 
11, J.K. Rowling, If you want to know what a man's like* take a good look at how he treats his inferiors* not his equals., from-charles-bayard-mitchell* 
12, Mark Twain, If you tell the truth* you don't have to remember anything., lies* lying* memory* truth* 
13, Maya Angelou, I've learned that people will forget what you said* people will forget what you did* but people will never forget how you made them feel., 
14, Elbert Hubbard, A friend is someone who knows all about you and still loves you., friend* friendship* knowledge* love* 
15, Oscar Wilde, To live is the rarest thing in the world. Most people exist* that is all., life* 
16, Oscar Wilde, Always forgive your enemies; nothing annoys them so much., attributed-no-source* enemies* forgiveness* strategy* 
17, Martin Luther King Jr., Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that., darkness* drive-out* hate* inspirational* light* love* peace* 
18, Mahatma Gandhi, Live as if you were to die tomorrow. Learn as if you were to live forever., carpe-diem* education* inspirational* learning* 
19, Friedrich Nietzsche, Without music* life would be a mistake., inspirational* music* philosophy* 
20, Oscar Wilde, I am so clever that sometimes I don't understand a single word of what I am saying., intelligence* self-deprecation* 
21, Ralph Waldo Emerson, To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment., accomplishment* attributed-no-source* be-yourself* conformity* individuality* 
22, Andre Gide, It is better to be hated for what you are than to be loved for what you are not., life* love* 
23, H. Jackson Brown Jr., Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover., actions* disappointed* disappointment* dream* dreams* explore* misattributed-mark-twain* sail* 
24, Bob Marley, Only once in your life* I truly believe* you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future* dreams that will never come true* goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens* you can’t wait to tell them about it* knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough* but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure* jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note* song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence* there’s no need for continuous conversation* but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky* gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart* you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different* exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life., love* 
25, J.R.R. Tolkien, All that is gold does not glitter*Not all those who wander are lost;The old that is strong does not wither*Deep roots are not reached by the frost.From the ashes a fire shall be woken*A light from the shadows shall spring;Renewed shall be blade that was broken*The crownless again shall be king., frost* glitter* gold* lost* poetry* roots* strength* strong* wander* wither* 
26, Jane Austen, The person* be it gentleman or lady* who has not pleasure in a good novel* must be intolerably stupid., aliteracy* books* classic* humor* 
27, Marilyn Monroe, Imperfection is beauty* madness is genius and it's better to be absolutely ridiculous than absolutely boring., attributed-no-source* be-yourself* inspirational* 
28, Albert Einstein, There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle., attributed-no-source* inspirational* life* live* miracle* miracles* 
29, J.K. Rowling, It does not do to dwell on dreams and forget to live., dreams* life* 
30, Mark Twain, Good friends* good books* and a sleepy conscience: this is the ideal life., books* contentment* friends* friendship* life* 
31, John Green, As he read* I fell in love the way you fall asleep: slowly* and then all at once., love* 
32, Oscar Wilde, We are all in the gutter* but some of us are looking at the stars., inspirational* optimism* perception* pessimism* 
33, Neil Gaiman, Fairy tales are more than true: not because they tell us that dragons exist* but because they tell us that dragons can be beaten., books* dragons* fairy-tales* inspirational* paraphrasing-g-k-chesterton* 
34, William Shakespeare, The fool doth think he is wise* but the wise man knows himself to be a fool., wisdom* 
35, Maurice Switzer, It is better to remain silent at the risk of being thought a fool* than to talk and remove all doubt of it., misattributed-to-abraham-lincoln* misattributed-to-mark-twain* remaining-silent* wisdom* 
36, Mark Twain, Whenever you find yourself on the side of the majority* it is time to reform (or pause and reflect)., individuality* majority* minority* pause* reflect* wisdom* 
37, Allen Saunders, Life is what happens to us while we are making other plans., fate* life* misattributed-john-lennon* planning* plans* 
38, Bill Keane, Yesterday is history* tomorrow is a mystery* today is a gift of God* which is why we call it the present., attributed-no-source* hope* inspirational* misattributed-eleanor-roosevelt* past* present* widely-misattributed* 
39, Thomas A. Edison, I have not failed. I've just found 10*000 ways that won't work., edison* failure* inspirational* paraphrased* 
40, Friedrich Nietzsche, It is not a lack of love* but a lack of friendship that makes unhappy marriages., friendship* lack-of-friendship* lack-of-love* love* marriage* unhappy-marriage* 
41, Elie Wiesel, The opposite of love is not hate* it's indifference. The opposite of art is not ugliness* it's indifference. The opposite of faith is not heresy* it's indifference. And the opposite of life is not death* it's indifference., activism* apathy* hate* indifference* inspirational* love* opposite* philosophy* 
42, Eleanor Roosevelt, A woman is like a tea bag; you never know how strong it is until it's in hot water., attributed-no-source* misattributed-eleanor-roosevelt* 
43, Mark Twain, The man who does not read has no advantage over the man who cannot read., aliteracy* attributed-no-source* literacy* 
44, Pablo Neruda, I love you without knowing how* or when* or from where. I love you simply* without problems or pride: I love you in this way because I do not know any other way of loving but this* in which there is no I or you* so intimate that your hand upon my chest is my hand* so intimate that when I fall asleep your eyes close., love* poetry* 
45, douglas adams, I may not have gone where I intended to go* but I think I have ended up where I needed to be., life* navigation* 
46, Groucho Marx, Outside of a dog* a book is man's best friend. Inside of a dog it's too dark to read., animals* books* dogs* friends* humor* 
47, J.K. Rowling, I solemnly swear that I am up to no good., mischief* 
48, Albert Einstein, I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world., 1929* imagination* inspirational* viereck-interview* 
49, William Shakespeare, Love all* trust a few*Do wrong to none: be able for thine enemyRather in power than use; and keep thy friendUnder thy own life's key: be check'd for silence*But never tax'd for speech., do-wrong* love* trust* wrong* 
50, Dr. Seuss, I like nonsense* it wakes up the brain cells. Fantasy is a necessary ingredient in living., fantasy* 
51, Neil Gaiman, Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up., love* 
52, Steve Martin, A day without sunshine is like* you know* night., humor* obvious* simile* 
53, George R.R. Martin, A reader lives a thousand lives before he dies* said Jojen. The man who never reads lives only one., read* readers* reading* reading-books* 
54, Mark Twain, Never put off till tomorrow what may be done day after tomorrow just as well., humor* procrastination* 
55, Lao Tzu, Being deeply loved by someone gives you strength* while loving someone deeply gives you courage., courage* deeply-loved* love* strength* widely-misattributed* 
56, Kent M. Keith, The Paradoxical CommandmentsPeople are illogical* unreasonable* and self-centered.Love them anyway.If you do good* people will accuse you of selfish ulterior motives.Do good anyway.If you are successful* you will win false friends and true enemies.Succeed anyway.The good you do today will be forgotten tomorrow.Do good anyway.Honesty and frankness make you vulnerable.Be honest and frank anyway.The biggest men and women with the biggest ideas can be shot down by the smallest men and women with the smallest minds.Think big anyway.People favor underdogs but follow only top dogs.Fight for a few underdogs anyway.What you spend years building may be destroyed overnight.Build anyway.People really need help but may attack you if you do help them.Help people anyway.Give the world the best you have and you'll get kicked in the teeth.Give the world the best you have anyway., forgiveness* goodness* happiness* honesty* kindness* misattributed-to-mother-teresa* world* 
57, Dr. Seuss, You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go..., inspirational* 
58, Friedrich Nietzsche, That which does not kill us makes us stronger., paraphrased* strength* 
59, George Eliot, It is never too late to be what you might have been., inspirational* misattributed* source-unknown* 
60, Ralph Waldo Emerson, For every minute you are angry you lose sixty seconds of happiness., happiness* 
61, Marilyn Monroe, This life is what you make it. No matter what* you're going to mess up sometimes* it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember* some come* some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember* sisters make the best friends in the world. As for lovers* well* they'll come and go too. And baby* I hate to say it* most of them - actually pretty much all of them are going to break your heart* but you can't give up because if you give up* you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once* doesn't mean you're gonna fail at everything. Keep trying* hold on* and always* always* always believe in yourself* because if you don't* then who will* sweetie? So keep your head high* keep your chin up* and most importantly* keep smiling* because life's a beautiful thing and there's so much to smile about., attributed-no-source* friends* heartbreak* inspirational* life* love* sisters* 
62, J.K. Rowling, It takes a great deal of bravery to stand up to our enemies* but just as much to stand up to our friends., albus-dumbledore* courage* friends* 
63, Douglas Adams, I love deadlines. I love the whooshing noise they make as they go by., deadlines* humor* humour* work* writing* 
64, Mother Teresa, If you judge people* you have no time to love them., attributed-no-source* 
65, Sarah Dessen, There is never a time or place for true love. It happens accidentally* in a heartbeat* in a single flashing* throbbing moment., love* 
66, Albert Einstein, If you can't explain it to a six year old* you don't understand it yourself., attributed-no-source* simplicity* understand* 
67, Friedrich Nietzsche, I'm not upset that you lied to me* I'm upset that from now on I can't believe you., lies* lying* trust* 
68, Maya Angelou, There is no greater agony than bearing an untold story inside you., 1970* inspirational* stories* writing* 
69, Robert A. Heinlein, Love is that condition in which the happiness of another person is essential to your own., essential* happiness* love* 
70, Haruki Murakami, If you only read the books that everyone else is reading* you can only think what everyone else is thinking., books* thought* 
71, Garrison Keillor, Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car., humor* religion* 
72, Pablo Picasso, Everything you can imagine is real., art* imagination* inspirational* life* 
73, Robert A. Heinlein, Women and cats will do as they please* and men and dogs should relax and get used to the idea., cats* humor* women* 
74, Anaïs Nin, We don't see things as they are* we see them as we are., 
75, Bob Marley, You may not be her first* her last* or her only. She loved before she may love again. But if she loves you now* what else matters? She's not perfect—you aren't either* and the two of you may never be perfect together but if she can make you laugh* cause you to think twice* and admit to being human and making mistakes* hold onto her and give her the most you can. She may not be thinking about you every second of the day* but she will give you a part of her that she knows you can break—her heart. So don't hurt her* don't change her* don't analyze and don't expect more than she can give. Smile when she makes you happy* let her know when she makes you mad* and miss her when she's not there., love* 
76, Dr. Seuss, Sometimes the questions are complicated and the answers are simple., attributed-no-source* life* 
77, Suzanne Collins," You love me. Real or not real?""I tell him* ""Real.", katniss* love* peeta* suzanne-collins* the-hunger-games* 
78, C.S. Lewis, You can never get a cup of tea large enough or a book long enough to suit me., books* inspirational* reading* tea* 
79, John Green, Sometimes* you read a book and it fills you with this weird evangelical zeal* and you become convinced that the shattered world will never be put back together unless and until all living humans read the book., books* power-of-words* reading* 
80, Charles M. Schulz, All you need is love. But a little chocolate now and then doesn't hurt., chocolate* food* humor* 
81, George Bernard Shaw, Life isn't about finding yourself. Life is about creating yourself., inspirational* life* yourself* 
82, Jim Henson, Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye., humor* 
83, J.K. Rowling, Of course it is happening inside your head* Harry* but why on earth should that mean that it is not real?, dumbledore* 
84, Dr. Seuss, Today you are You* that is truer than true. There is no one alive who is Youer than You., comedy* life* yourself* 
85, J.K. Rowling, It is impossible to live without failing at something* unless you live so cautiously that you might as well not have lived at all—in which case* you fail by default., 
86, J.K. Rowling, To the well-organized mind* death is but the next great adventure., death* dumbledore* harry* inspirational* philosophers-stone* ron* sorcerers-stone* 
87, Albert Einstein, If you want your children to be intelligent* read them fairy tales. If you want them to be more intelligent* read them more fairy tales., attributed-no-source* children* fairy-tales* 
88, John Green," I'm in love with you*"" he said quietly.""Augustus*"" I said.""I am*"" he said. He was staring at me* and I could see the corners of his eyes crinkling. ""I'm in love with you* and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you* and I know that love is just a shout into the void* and that oblivion is inevitable* and that we're all doomed and that there will come a day when all our labor has been returned to dust* and I know the sun will swallow the only earth we'll ever have* and I am in love with you.", doomed* inevitable* love* oblivion* pleasure* simple* 
89, Albert Einstein, Logic will get you from A to Z; imagination will get you everywhere., attributed-no-source* imagination* 
90, Cassandra Clare," Have you fallen in love with the wrong person yet?'Jace said* ""Unfortunately* Lady of the Haven* my one true love remains myself.""...""At least*"" she said* ""you don't have to worry about rejection* Jace Wayland.""""Not necessarily. I turn myself down occasionally* just to keep it interesting.", city-of-bones* jace* 
91, Nicholas Sparks, I am nothing special* of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten* but I've loved another with all my heart and soul* and to me* this has always been enough.., love* 
92, Markus Zusak, Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are., beauty* life* 
93, William Shakespeare, Love looks not with the eyes* but with the mind; And therefore is wing'd Cupid painted blind. Nor hath love's mind of any judgment taste; Wings and no eyes figure unheedy haste: And therefore is love said to be a child* Because in choice he is so oft beguil'd., love* 
94, Bob Marley, The truth is* everyone is going to hurt you. You just got to find the ones worth suffering for., friendship* 
95, John Green, You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices., satisfaction* self-determination* 
96, Dr. Seuss, The more that you read* the more things you will know. The more that you learn* the more places you'll go., learning* reading* seuss* 
97, Abraham Lincoln, Folks are usually about as happy as they make their minds up to be., attributed-no-source* happiness* 
98, Ernest Hemingway, There is no friend as loyal as a book., books* friends* novelist-quotes* 
99, Bob Marley, One good thing about music* when it hits you* you feel no pain., music* 
100, Douglas Adams, The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move., humor* scifi* 
101, Groucho Marx, I find television very educating. Every time somebody turns on the set* I go into the other room and read a book., books* humor* reading* television* 
102, Winston S. Churchill, Success is not final* failure is not fatal: it is the courage to continue that counts., bravery* courage* failure* inspirational* success* 
103, Nicholas Sparks, Love is like the wind* you can't see it but you can feel it., love* simile* 
104, Mother Teresa, Not all of us can do great things. But we can do small things with great love., misattributed-to-mother-teresa* paraphrased* 
105, Helen Keller, When one door of happiness closes* another opens; but often we look so long at the closed door that we do not see the one which has been opened for us., inspirational* 
106, Stephen Chbosky, So* this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be., charlie* favourite-books* inspirational* sad* soul-searching* wallflower* 
107, Shel Silverstein, Listen to the mustn'ts* child. Listen to the don'ts. Listen to the shouldn'ts* the impossibles* the won'ts. Listen to the never haves* then listen close to me... Anything can happen* child. Anything can be., anything-can-be* hope* impossible* inspirational* musn-t* possibilities* shouldn-t* won-t* 
108, Jane Austen, There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves* it is not my nature., friendship* love* 
109, Albert Einstein, Life is like riding a bicycle. To keep your balance* you must keep moving., life* simile* 
110, Charles Bukowski, Some people never go crazy. What truly horrible lives they must lead., humor* 
111, Elizabeth Gilbert, People think a soul mate is your perfect fit* and that's what everyone wants. But a true soul mate is a mirror* the person who shows you everything that is holding you back* the person who brings you to your own attention so you can change your life. A true soul mate is probably the most important person you'll ever meet* because they tear down your walls and smack you awake. But to live with a soul mate forever? Nah. Too painful. Soul mates* they come into your life just to reveal another layer of yourself to you* and then leave. A soul mates purpose is to shake you up* tear apart your ego a little bit* show you your obstacles and addictions* break your heart open so new light can get in* make you so desperate and out of control that you have to transform your life* then introduce you to your spiritual master..., love* 
112, Jodi Picoult, You don't love someone because they're perfect* you love them in spite of the fact that they're not., imperfect* love* 
113, John Green, Saying 'I notice you're a nerd' is like saying* 'Hey* I notice that you'd rather be intelligent than be stupid* that you'd rather be thoughtful than be vapid* that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact* it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah* whatever* so does 50 Cent* and he's done all right for himself., humor* nerdfighters* 
114, J.K. Rowling, It matters not what someone is born* but what they grow to be., dumbledore* 
115, J.D. Salinger, What really knocks me out is a book that* when you're all done reading it* you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much* though., authors* books* literature* reading* writing* 
116, Anais Nin, Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness* of witherings* of tarnishings., death* love* 
117, Alexandre Dumas-fils, The difference between genius and stupidity is: genius has its limits., misattributed-to-einstein* 
118, Marilyn Monroe, If you can make a woman laugh* you can make her do anything., attributed-no-source* girls* love* 
119, Robert Fulghum, We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours* we join up with them and fall into mutually satisfying weirdness—and call it love—true love., love* weirdness* 
120, Oscar Wilde, It is what you read when you don't have to that determines what you will be when you can't help it., books* reading* 
121, Walter M. Miller Jr., You don’t have a soul* Doctor. You are a soul. You have a body* temporarily., body-soul* misattributed-to-c-s-lewis* 
122, J.R.R. Tolkien, Not all those who wander are lost., bilbo* journey* lost* quest* travel* wander* 
123, Alfred Tennyson, If I had a flower for every time I thought of you...I could walk through my garden forever., friendship* love* 
124, Virginia Woolf, I would venture to guess that Anon* who wrote so many poems without signing them* was often a woman., women* 
125, John Green, Some infinities are bigger than other infinities., infinity* john-green* life* tfios* the-fault-in-our-stars* 
126, Terry Pratchett, The trouble with having an open mind* of course* is that people will insist on coming along and trying to put things in it., humor* open-mind* thinking* 
